ulikou 加
uwenli 务
uwanli 劢
ushaoli 劣
ujinli 劤
ukangli 劥
ulili 劦
ushouli 劧
uyunli 动
uqieli 助
unuli 努
uquli 劫
ujuli 劬
uzhaoli 劭
ushili 劮
ushili 劯
ubaili 劰
ulili 励
ujingli 劲
ucaoli 劳
uxueli 労
ujuanli 劵
uhouli 劶
uyangli 劷
uguili 劸
ujiaoli 効
umouli 劺
ukuangli 劻
ujili 劼
ulieli 劽
uhaili 劾
uzhili 势
ukeli 勀
ujingli 勁
ugaoli 勂
uboli 勃
umeili 勄
ushuli 勅
uliangli 勆
uyongli 勇
uyongli 勈
umianli 勉
ukeli 勊
uyuanli 勋
ujuanli 勌
ujingli 勍
ululi 勎
upouli 勏
umengli 勐
ulaili 勑
ugeli 勒
ujieli 勓
umianli 勔
uzhongli 動
umaoli 勖
urizhu 勗
ushenli 勘
umaowu 務
ushili 勚
uyuanli 勛
uwengli 勜
uyueli 勝
uyingli 勞
umoli 募
uliuli 勠
upiaoli 勡
uyili 勢
uzeli 勣
ujinli 勤
uqiangli 勥
uchaoli 勦
urenli 勧
uxiangli 勨
ushili 勩
uqiaoli 勪
ufanli 勫
ujuanli 勬
utongli 勭
uhuli 勮
udanli 勯
ulisi 勰
uwanli 勱
udonghuo 勲
uxunli 勳
ulvli 勴
ulili 勵
ucheli 勶
uxiangli 勷
uguanli 勸
upieyi 勹
ubaodian 勺
ubaoer 勻
ubaojiu 勼
ubaoren 勽
ubaosi 勾
ubaopie 勿
ubaoshui 匀
upieren 匁
ubaobi 匂
ubaoren 匃
ubaowang 匄
ubaosi 包
uwudian 匆
ubaoxi 匇
ubaoxiong 匈
ubaoping 匉
ubaomi 匊
ubaofou 匋
ubaohe 匌
ubaofu 匍
ubaoyan 匎
ukuabao 匏
ubaofu 匐
ubaogong 匑
ubaoda 匒
ubaoshu 匓
ubaolv 匔
upieyi 匕
urenbi 化
upanbi 北
ubixin 匘
ushibi 匙
uhengyi 匚
